authorDisplayName,authorChannelUrl,authorChannelId,channelId,videoId,textDisplay,parentId,canRate,likeCount,publishedAt,updatedAt
@jorgeisaacpabon5308,http://www.youtube.com/@jorgeisaacpabon5308,UC1ud4EeTtuXDlJlfOhpZLow,{'value': 'UC1ud4EeTtuXDlJlfOhpZLow'},RPcwUunWqhs,VLLC🇦🇷🦁💜🦆🇦🇷,Ugyo528IkjMfONy1Kzh4AaABAg,True,0,2024-10-11T01:38:02Z,2024-10-11T01:38:02Z
@martavargas4315,http://www.youtube.com/@martavargas4315,UC7rg0fGtyStkTOvZa5mlD_A,{'value': 'UC7rg0fGtyStkTOvZa5mlD_A'},RPcwUunWqhs,❤❤❤❤🦁🇦🇷,UgzvYR8iVbiqdrFnmvh4AaABAg,True,2,2024-10-11T01:36:57Z,2024-10-11T01:36:57Z
@MarcosDaniel88,http://www.youtube.com/@MarcosDaniel88,UCszhk32AFU4WU57BlvO83xQ,{'value': 'UCszhk32AFU4WU57BlvO83xQ'},RPcwUunWqhs,jajaja largá el clic bait que ya sos millonario,UgzXAbkZBr1gpH03Tsh4AaABAg,True,0,2024-10-11T01:36:34Z,2024-10-11T01:36:34Z
@jorgeisaacpabon5308,http://www.youtube.com/@jorgeisaacpabon5308,UC1ud4EeTtuXDlJlfOhpZLow,{'value': 'UC1ud4EeTtuXDlJlfOhpZLow'},RPcwUunWqhs,Marian darle voz a esta gente no se cuelgan del éxito Libertario....?,Ugy3OT1SC3PcbzU-TTp4AaABAg,True,0,2024-10-11T01:36:30Z,2024-10-11T01:36:30Z
@ricardoespinola7005,http://www.youtube.com/@ricardoespinola7005,UCNfP3BivNMmYK8L2lJwCGjQ,{'value': 'UCNfP3BivNMmYK8L2lJwCGjQ'},RPcwUunWqhs,"Mariano, explicame como si sos un periodista &quot;deportivo&quot; estas haciendo periodismo que &quot;no es deportivo&quot;. No suena como que tengas preparacion para otro tipo de periodismo. Me pregunto, si estas bien formado desde el punto de vista profesional. En este pais gente sin la adecuada preparacion habla de cosas que no sabe. Seria bueno que lo aclararas.",Ugw4mNHMzUFRzLL_5TV4AaABAg,True,0,2024-10-11T01:36:28Z,2024-10-11T01:36:28Z
@Fabinho-pg3ou,http://www.youtube.com/@Fabinho-pg3ou,UCa8H7QLNo1N_vS4xdg6uddQ,{'value': 'UCa8H7QLNo1N_vS4xdg6uddQ'},RPcwUunWqhs,Cuál periodista anti Milei? Si el otro día la escuché defendiendo y apoyando medidas de este gobierno,Ugxb4q24-IbMzmhBwcV4AaABAg,True,0,2024-10-11T01:36:11Z,2024-10-11T01:36:11Z
@kart1350,http://www.youtube.com/@kart1350,UCqx8Omslm_T1STdImKHT7qg,{'value': 'UCqx8Omslm_T1STdImKHT7qg'},RPcwUunWqhs,"Jajajjajsjjs😅 te zarpaste con el título, fue así tal cual 😂",UgwOfyGz13ypMUYhacB4AaABAg,True,0,2024-10-11T01:35:30Z,2024-10-11T01:35:30Z
@javierFernandez-electrojafer,http://www.youtube.com/@javierFernandez-electrojafer,UCvo5J9pQGQpTs7VjuloXasg,{'value': 'UCvo5J9pQGQpTs7VjuloXasg'},RPcwUunWqhs,Crack...¡!!!,UgxyrOoUZYeq0ktiRPR4AaABAg,True,2,2024-10-11T01:35:02Z,2024-10-11T01:35:02Z
@ricardoespinola7005,http://www.youtube.com/@ricardoespinola7005,UCNfP3BivNMmYK8L2lJwCGjQ,{'value': 'UCNfP3BivNMmYK8L2lJwCGjQ'},RPcwUunWqhs,En este pais todo el mundo hace danios y la policia no interviene???? Que tipo de pais es Argentina???,Ugz7jpHz2imd-xYcumV4AaABAg,True,0,2024-10-11T01:34:13Z,2024-10-11T01:34:13Z
@cristinocardozo1410,http://www.youtube.com/@cristinocardozo1410,UCOPUg-5tBEdRqKaRMnGxuLg,{'value': 'UCOPUg-5tBEdRqKaRMnGxuLg'},RPcwUunWqhs,Linda pareja ❤,UgxfDt3Xy-rMA78rGeZ4AaABAg,True,0,2024-10-11T01:34:09Z,2024-10-11T01:34:09Z
@ramonbarrios3101,http://www.youtube.com/@ramonbarrios3101,UCJapQcNBYy-z2xjks7kmz8Q,{'value': 'UCJapQcNBYy-z2xjks7kmz8Q'},RPcwUunWqhs,"A mayor libertad mayor responsabilidad, no libertinaje",Ugx4V90isyBZSFrme3d4AaABAg,True,0,2024-10-11T01:33:30Z,2024-10-11T01:33:30Z
@ricardoespinola7005,http://www.youtube.com/@ricardoespinola7005,UCNfP3BivNMmYK8L2lJwCGjQ,{'value': 'UCNfP3BivNMmYK8L2lJwCGjQ'},RPcwUunWqhs,Deberias mostrar los datos donde decis que superas a CNN.,UgykBJBgRe1p9BgoO-d4AaABAg,True,0,2024-10-11T01:32:23Z,2024-10-11T01:32:23Z
@ricardoespinola7005,http://www.youtube.com/@ricardoespinola7005,UCNfP3BivNMmYK8L2lJwCGjQ,{'value': 'UCNfP3BivNMmYK8L2lJwCGjQ'},RPcwUunWqhs,Duplicar a la CNN?,Ugw7LHfPuXrS4M3P1yZ4AaABAg,True,0,2024-10-11T01:31:44Z,2024-10-11T01:31:44Z
@RicardoRaul-zj2ts,http://www.youtube.com/@RicardoRaul-zj2ts,UCkVGo0XpIVVUewGaf5Rdtcg,{'value': 'UCkVGo0XpIVVUewGaf5Rdtcg'},RPcwUunWqhs,A.D.N    DE     CINICO     TIENE   ESTE    CHARLATAN...,UgxVl60NCSe12Cjno0V4AaABAg,True,0,2024-10-11T01:31:43Z,2024-10-11T01:32:11Z
@RicardoRaul-zj2ts,http://www.youtube.com/@RicardoRaul-zj2ts,UCkVGo0XpIVVUewGaf5Rdtcg,{'value': 'UCkVGo0XpIVVUewGaf5Rdtcg'},RPcwUunWqhs,NOS   TOMA   DE   ESTUPIDOS   ESTE    PIBE...   QUE   NO    MIENTA..  AMBOS   LOQUITOS    FUERON    A  BUSCAR    ROÑA    Y     LES    SALIO    BARATO.  POR   SU   SALUD   LE    RECOMENDARIA   QU  E    LA    PROXIMA   NO     RECORRAN    LOS   CANALES   DE    TV....   PORQUE   INCREMENTAN    SUS   RIEZGOS,UgwlL_uF5ddeeEcmQr14AaABAg,True,0,2024-10-11T01:30:47Z,2024-10-11T01:30:47Z
@belenhae1622,http://www.youtube.com/@belenhae1622,UCdWoFKX81VwFqU5n2C-epgw,{'value': 'UCdWoFKX81VwFqU5n2C-epgw'},RPcwUunWqhs,La calle no está agresiva ....los agresivos son los ladrones,UgxOQJ_-dq8gPwLm4zN4AaABAg,True,72,2024-10-11T01:30:39Z,2024-10-11T01:30:39Z
@samirafarah5,http://www.youtube.com/@samirafarah5,UC4-4lUGWYat6GJLzB7rX0-A,{'value': 'UC4-4lUGWYat6GJLzB7rX0-A'},RPcwUunWqhs,"BIEN MARIAN, 😊😊😊😊ME",UgyeS7lQoUD5b7Rdo3d4AaABAg,True,6,2024-10-11T01:28:37Z,2024-10-11T01:28:37Z
@cristiandl5,http://www.youtube.com/@cristiandl5,UC5OqgdgOW0hEGJVz-TQ6W6g,{'value': 'UC5OqgdgOW0hEGJVz-TQ6W6g'},RPcwUunWqhs,"LA MINA TE TIENE UNA BRONCA Y ENVIDIA😂😂😂😂 si analizas sus gestos se siente inferior pobrecita. Risa fingida se come las uñas, se limpia los dientes mientras te entrevista para minimizarte y podria seguir analizando toda la hora. Igual le deje un lindo comentario en su canal😅 igual se va domando de a poco y la empiezan a ver de a poco...igual la escencia zurda no se va jamás",UgyRk19jLEDEZXcPtdl4AaABAg,True,3,2024-10-11T01:28:14Z,2024-10-11T01:28:14Z
@ramonbarrios3101,http://www.youtube.com/@ramonbarrios3101,UCJapQcNBYy-z2xjks7kmz8Q,{'value': 'UCJapQcNBYy-z2xjks7kmz8Q'},RPcwUunWqhs,Tenés que volver a invitar a milei ❤❤❤,Ugx-whDn_PCupD4Aq394AaABAg,True,0,2024-10-11T01:26:35Z,2024-10-11T01:26:35Z
@RicardoRaul-zj2ts,http://www.youtube.com/@RicardoRaul-zj2ts,UCkVGo0XpIVVUewGaf5Rdtcg,{'value': 'UCkVGo0XpIVVUewGaf5Rdtcg'},RPcwUunWqhs,SON    EXPERTOS    ANARQUISTA    BUSCA    PLEITOS    ESTOS     CHICOS....   EN   LA    ARGENTINA    REPRESENTAN     UN    GRAN   PELIGRO    QUE   SE   REPRODUZCAN    ESTA    CLASE    DE    NOTEROS    BARATOS,Ugz854-DxfaLSno8pjB4AaABAg,True,0,2024-10-11T01:25:54Z,2024-10-11T01:25:54Z
@TUESTADIAENMENDOZA,http://www.youtube.com/@TUESTADIAENMENDOZA,UCe5kkcQAhdrWd1lVoqz5Tow,{'value': 'UCe5kkcQAhdrWd1lVoqz5Tow'},RPcwUunWqhs,Tienen archivos. Historia bquebbloquea el relato,UgyIdmWbXISaEdlvvLp4AaABAg,True,0,2024-10-11T01:25:49Z,2024-10-11T01:25:49Z
@gloriafaez7312,http://www.youtube.com/@gloriafaez7312,UCJrpbXTZYDY_PQLMZO57o8w,{'value': 'UCJrpbXTZYDY_PQLMZO57o8w'},RPcwUunWqhs,Mariano te queremos..y te re bancamos..,Ugw40Wg3aWSoYe43dyR4AaABAg,True,78,2024-10-11T01:25:25Z,2024-10-11T01:26:08Z
@isabeldebernardi6916,http://www.youtube.com/@isabeldebernardi6916,UClWfug7gH-egU3uu97pQXGQ,{'value': 'UClWfug7gH-egU3uu97pQXGQ'},RPcwUunWqhs,Es verdad yo te sigo hace muchos meses desde que estaba en campaña Milei ...y ahora cuando quiero saber la verdad de lo que pasó ...miro tu canal,UgweXvF7eAicfnkTAOx4AaABAg,True,5,2024-10-11T01:25:19Z,2024-10-11T01:25:19Z
@guillermofernandez5690,http://www.youtube.com/@guillermofernandez5690,UCSZ1LlFZt-X77hsp1Klhvqw,{'value': 'UCSZ1LlFZt-X77hsp1Klhvqw'},RPcwUunWqhs,"😂 vas a provocar ,a chicanear ,bardean por Youtube ...y si la gente se va a cansar y va a reaccionar... Como reacciono con este pibe fran.....",UgxGQLPgpIANu3u9P454AaABAg,True,0,2024-10-11T01:24:50Z,2024-10-11T01:24:50Z
@RicardoRaul-zj2ts,http://www.youtube.com/@RicardoRaul-zj2ts,UCkVGo0XpIVVUewGaf5Rdtcg,{'value': 'UCkVGo0XpIVVUewGaf5Rdtcg'},RPcwUunWqhs,ESTOS   MUCHACHOS    ANDAN   BUSCANDO  TRABAJO   Y     DESBANCAR     BAJANDOLE EL PRECIO     A     FEIMAN  A    LAJE     A   JONI   VIALE     A    MAJUL    A L   GORDITO   WIÑATZKY  Y    A     CUALQUIERA  QUE   CLARIN  O   LA NACION   QUIERA    RAJAR,Ugywgp8YbmJuR8qRMAN4AaABAg,True,0,2024-10-11T01:24:45Z,2024-10-11T01:24:45Z
@oscarambassador5676,http://www.youtube.com/@oscarambassador5676,UCR8zVO4LHFm53TNQj_Zl0EA,{'value': 'UCR8zVO4LHFm53TNQj_Zl0EA'},RPcwUunWqhs,"Capo,yo vote a Milei y siempre me gustaron tus informes,pero el título no me parece,y a tal punto que ni lo quise ver, María Julia es una re mujer y no se merece ese calificativo,muy injusto. Milei presidente 🇦🇷",Ugzgb46JKyn6UZHS8Ql4AaABAg,True,4,2024-10-11T01:23:43Z,2024-10-11T01:23:43Z
@alanmartinez7647,http://www.youtube.com/@alanmartinez7647,UC1C0JhAhK8um02n9f3ECxwA,{'value': 'UC1C0JhAhK8um02n9f3ECxwA'},RPcwUunWqhs,"esta quiere imponer &quot;periodistas&quot;, que &quot;les den pauta y un programa&quot; etc...cualquiera...hoy tenés un micrófono y una cam lo podés subir a internet...la gente va a elegir si quiere verte o no",UgysdPw1Q6MHYaGmg0p4AaABAg,True,0,2024-10-11T01:23:18Z,2024-10-11T01:23:18Z
@RicardoRaul-zj2ts,http://www.youtube.com/@RicardoRaul-zj2ts,UCkVGo0XpIVVUewGaf5Rdtcg,{'value': 'UCkVGo0XpIVVUewGaf5Rdtcg'},RPcwUunWqhs,ESTE    COBARDE   QUE    SE    PRESENTA COMO   BREAK POINT   Y    NO    QUIERE   S ER     MARIANO   PEREZ....AL    IGUAL    QUE   FRAN    FIAP    QUE     MUESTREN   LOS    CERTIFICADOS    DE   PERIODISTAS.    PORQUE    PARA   MI    SOLO SON   LOS  ENSOBRADOS  DE   MILEY.,UgxmJBqcKqHNcvC_l-d4AaABAg,True,0,2024-10-11T01:22:23Z,2024-10-11T01:22:23Z
@David-fc4bg,http://www.youtube.com/@David-fc4bg,UCO26x4dxplN4fij4ROz2ONg,{'value': 'UCO26x4dxplN4fij4ROz2ONg'},RPcwUunWqhs,"Saludos Mariano, Dios te bendiga!",UgynS2EyL1TCITB9woR4AaABAg,True,10,2024-10-11T01:22:13Z,2024-10-11T01:22:13Z
@fer_benitez_dg,http://www.youtube.com/@fer_benitez_dg,UCOLitx17hhJl3pGgNVJ1apQ,{'value': 'UCOLitx17hhJl3pGgNVJ1apQ'},RPcwUunWqhs,Mariano fivino❤❤❤❤❤❤❤❤Mariano divino,UgxX8RkXiyMfvz0t3Cl4AaABAg,True,2,2024-10-11T01:21:50Z,2024-10-11T01:23:01Z
@AmazingwildCAT,http://www.youtube.com/@AmazingwildCAT,UCYxpEDXDPMuqyYmD6hLLjsQ,{'value': 'UCYxpEDXDPMuqyYmD6hLLjsQ'},RPcwUunWqhs,"Profesional el chico, la chica bella e interesante",Ugxer6qWO8argetX-PF4AaABAg,True,0,2024-10-11T01:20:12Z,2024-10-11T01:20:12Z
