textDisplay,likeCount,authorDisplayName,authorChannelUrl,authorChannelId,publishedAt,updatedAt
"@ChainsawOfDoom Yo se lo advertí. De hecho, no sé por qué me da 5 dólares más si no se los he pedido.",1,@JesusMRubioJMR,http://www.youtube.com/@JesusMRubioJMR,UC_-9in2jHNrVmE1dSrFVPxg,2011-07-14T22:01:27Z,1970-01-01T00:00:00Z
"@JesusMRubioJMR OK, tenga, 10 dólares, por la vez anterior más 5 comentarios extra.

Aunque no debería haberle pagado porque usted no me advirtió que debía pagarle antes de iniciar la primer discusión =/",1,@Rainwound,http://www.youtube.com/@Rainwound,UCMkmahgXQm2mDtpAEPG71TQ,2011-07-14T21:32:21Z,1970-01-01T00:00:00Z
@ChainsawOfDoom No me pagó usted en la vez anterior.,1,@JesusMRubioJMR,http://www.youtube.com/@JesusMRubioJMR,UC_-9in2jHNrVmE1dSrFVPxg,2011-07-13T07:47:27Z,1970-01-01T00:00:00Z
"@ChainsawOfDoom Pero si usted ha pagado con un billete de 4,99 euros. Lo siento, no puedo discutir con usted por ese precio.",1,@JesusMRubioJMR,http://www.youtube.com/@JesusMRubioJMR,UC_-9in2jHNrVmE1dSrFVPxg,2011-07-13T00:06:55Z,1970-01-01T00:00:00Z
"@JesusMRubioJMR 

OK, tenga. Cinco dólares. *entrega un billete*

Aunque no debería haberle pagado porque ni siquiera llegamos a discutir por 5 comentarios =/
",1,@Rainwound,http://www.youtube.com/@Rainwound,UCMkmahgXQm2mDtpAEPG71TQ,2011-07-12T23:54:55Z,1970-01-01T00:00:00Z
"@ChainsawOfDoom Lo siento, 5 dólares.",1,@JesusMRubioJMR,http://www.youtube.com/@JesusMRubioJMR,UC_-9in2jHNrVmE1dSrFVPxg,2011-07-12T21:13:47Z,1970-01-01T00:00:00Z
"@JesusMRubioJMR

Pero, pero...!! Ni siquiera hemos llegado a hacer 5 comentarios!! :&#39;(",1,@Rainwound,http://www.youtube.com/@Rainwound,UCMkmahgXQm2mDtpAEPG71TQ,2011-07-12T16:09:00Z,1970-01-01T00:00:00Z
"@ChainsawOfDoom De ninguna manera, cada uno se ha metido con el humor que el otro defendía por sistema. Siguen pelea... Pague otros cinco dólares si quiere seguir discutiendo. :-)",1,@JesusMRubioJMR,http://www.youtube.com/@JesusMRubioJMR,UC_-9in2jHNrVmE1dSrFVPxg,2011-07-11T07:12:31Z,1970-01-01T00:00:00Z
"@JesusMRubioJMR Sí se han puesto de acuerdo, y ya no están peleados.",1,@Rainwound,http://www.youtube.com/@Rainwound,UCMkmahgXQm2mDtpAEPG71TQ,2011-07-10T23:54:10Z,1970-01-01T00:00:00Z
"@ChainsawOfDoom No, nunca se han puesto de acuerdo, están peleados.",1,@JesusMRubioJMR,http://www.youtube.com/@JesusMRubioJMR,UC_-9in2jHNrVmE1dSrFVPxg,2011-07-10T18:15:00Z,1970-01-01T00:00:00Z
"@JesusMRubioJMR De hecho sí, sí se pusieron de acuerdo.",1,@Rainwound,http://www.youtube.com/@Rainwound,UCMkmahgXQm2mDtpAEPG71TQ,2011-07-10T17:59:11Z,1970-01-01T00:00:00Z
"@tensiondigital No, no se han puesto de acuerdo.",1,@JesusMRubioJMR,http://www.youtube.com/@JesusMRubioJMR,UC_-9in2jHNrVmE1dSrFVPxg,2011-06-14T19:54:05Z,1970-01-01T00:00:00Z
Muy bueno.,0,@cristian15154,http://www.youtube.com/@cristian15154,UC0-MpdIiANVJztUBeto5GcQ,2010-10-16T02:16:34Z,1970-01-01T00:00:00Z
@taorita no you didn&#39;t!!,0,@franvazquez17,http://www.youtube.com/@franvazquez17,UCB8PBJGe2WfofWm_q33GQSw,2010-09-22T21:28:18Z,1970-01-01T00:00:00Z
como busco el video completo?,0,@kameb,http://www.youtube.com/@kameb,UCBsaQRw5oe3S2Ju-TEVsdIg,2010-05-28T07:40:24Z,1970-01-01T00:00:00Z
esto si es humor adsurdo del bueno xD,146,@mgarcia,http://www.youtube.com/@mgarcia,UCSCzzv7hzJ3pUZBEmmd47ZA,2010-05-24T21:40:45Z,1970-01-01T00:00:00Z
i did!!!,0,@taorita,http://www.youtube.com/@taorita,UCod5cF4MZlguw46JSwdzJbQ,2010-05-03T23:13:07Z,1970-01-01T00:00:00Z
"Qué grandes!!! Y el gesto de John Cleese al final, al ver al tío volador, es DE DIBUJOS ANIMADOS!!!!",29,@Parrambusties,http://www.youtube.com/@Parrambusties,UCk4sQD7dUQwMuObPu9rc0LA,2010-03-28T21:24:56Z,1970-01-01T00:00:00Z
que wea mas imbecil... ni un brillo,0,@pispiridolfo,http://www.youtube.com/@pispiridolfo,UCBd1iLRgYFCg48wUaftu-OQ,2010-03-04T18:41:44Z,1970-01-01T00:00:00Z
"No, no se viene!",0,@Swaitek,http://www.youtube.com/@Swaitek,UCu5zy4FjC3jEZ3Ff7ZR4bkg,2010-01-30T20:27:38Z,1970-01-01T00:00:00Z
"Rodja, deberias ponerle en las etiquetas &quot;español&quot; o subtitulos, algo para que se encuentre mas facil, muy bueno!",3,@Sapov,http://www.youtube.com/@Sapov,UCSJjV85OV3oQ9XCDsWr8gEg,2010-01-28T06:14:32Z,1970-01-01T00:00:00Z
"si, lo es (JAJAJAJAJJAJ)",0,@julitopaz,http://www.youtube.com/@julitopaz,UC3z_vWsgNjbQQF9N786mGoQ,2010-01-14T04:11:36Z,1970-01-01T00:00:00Z
no discutimos. Intercambiamos.... opiniones,0,@julitopaz,http://www.youtube.com/@julitopaz,UC3z_vWsgNjbQQF9N786mGoQ,2009-12-22T21:19:10Z,1970-01-01T00:00:00Z
@jornetjag  che yo he echo ambas cosas y qe xD,0,@fedeelcapoo,http://www.youtube.com/@fedeelcapoo,UCczpeXm99pJHNlh5Mkg-dxg,2009-12-19T04:41:07Z,1970-01-01T00:00:00Z
"no es tan increíble, es lo q uno suele hacer cuando tiene q enfrentar a un burócrata: encima de que le pagas, terminas discutiendo con él.",2,@reinadecapitada,http://www.youtube.com/@reinadecapitada,UCm3nkLns43eKXVRIiBYVrHA,2009-11-30T22:42:42Z,1970-01-01T00:00:00Z
