textDisplay,likeCount,authorDisplayName,authorChannelUrl,authorChannelId,publishedAt,updatedAt
Le pongo la medalla . Y a tu te estas ganando un diplomado jajajaja 😂😂😂😂,6,@jeremyknight2616,http://www.youtube.com/@jeremyknight2616,UCK_k3uo2pjS-7UFbKYwIyLA,2024-10-19T23:06:55Z,2024-10-19T23:06:55Z
Como se hacen desear❤,4,@ceciliamartinez2141,http://www.youtube.com/@ceciliamartinez2141,UCyQaAltnpshgCn-niFP5tIg,2024-10-19T23:04:53Z,2024-10-19T23:04:53Z
En esa parte de: tú has leído la ley… No; yo sí! Jajaja 🤣. Ahí debiste editar el video de trolear 😜,4,@nimrodcoronel8137,http://www.youtube.com/@nimrodcoronel8137,UCCSHCarUeWo8se4tSC_L7ow,2024-10-19T23:03:23Z,2024-10-19T23:03:23Z
Me encantan enterarme lo que pasa en la política sin dramas y reindome 😂😂😂😂😂😂😂😂😂😂,8,@angievianas.chumpitazi8430,http://www.youtube.com/@angievianas.chumpitazi8430,UCzjJM9KzzPzC8luGO4xlWyQ,2024-10-19T23:01:16Z,2024-10-19T23:01:16Z
"Al colorado le falta un hervor, le falta.",0,@TioPepe1970,http://www.youtube.com/@TioPepe1970,UCh4oZRCwOfrBkXuNaCPzEwA,2024-10-19T22:56:35Z,2024-10-19T22:56:35Z
En que calitulo era lo de cojudos con iniciativa jajaja,2,@jeremyknight2616,http://www.youtube.com/@jeremyknight2616,UCK_k3uo2pjS-7UFbKYwIyLA,2024-10-19T22:56:12Z,2024-10-19T22:56:12Z
About time!  👍🏼,1,@nimrodcoronel8137,http://www.youtube.com/@nimrodcoronel8137,UCCSHCarUeWo8se4tSC_L7ow,2024-10-19T22:48:40Z,2024-10-19T22:48:40Z
Estaba de vacaciones el Augusto,4,@nestorcastro3122,http://www.youtube.com/@nestorcastro3122,UCUvUfV8WTPtHFI9Gef3UrNg,2024-10-19T22:42:39Z,2024-10-19T22:42:39Z
Buscalibre es la librería que más me gusta; son super cumplidos y tienen buenos precios. ❤,4,@camenalvarezderivero3316,http://www.youtube.com/@camenalvarezderivero3316,UCBA9VxkeIfJ23yhHMoG2zYg,2024-10-19T22:39:20Z,2024-10-19T22:39:20Z
Por fin ❤,2,@SuperSilpao,http://www.youtube.com/@SuperSilpao,UCb9jZYBvOoBPSZz1zAxGgMw,2024-10-19T22:38:55Z,2024-10-19T22:38:55Z
Què pasó? Se pelearon otra vez?,1,@camenalvarezderivero3316,http://www.youtube.com/@camenalvarezderivero3316,UCBA9VxkeIfJ23yhHMoG2zYg,2024-10-19T22:35:38Z,2024-10-19T22:35:38Z
HACE RATO PS PITUCOS ROSADITOS,1,@marbells3948,http://www.youtube.com/@marbells3948,UCbCEFb3qfEyBwSZmr4bokww,2024-10-19T22:35:33Z,2024-10-19T22:35:33Z
Se han hecho extrañar!!,4,@vdiosesz,http://www.youtube.com/@vdiosesz,UCoD5WjxqmrDvMfw4KyAjlew,2024-10-19T22:32:31Z,2024-10-19T22:32:31Z
Hola Augusto Christian nos tenían abandonados mucho tiempo sin verlos los extrañaba me divierten mucho su programa no dejen de seguir asiendo este gran programa sigan así con ese gran estilo tan directos muy bueno que sigan los éxitos ❤😊😂,4,@milagroszambrano8089,http://www.youtube.com/@milagroszambrano8089,UCk8tVNDd1NK9VJioAC7ETyg,2024-10-19T22:29:42Z,2024-10-19T22:29:42Z
Ya era hora,3,@humbertoleu1808,http://www.youtube.com/@humbertoleu1808,UCXVVsFS090IDGwnT6iom9rQ,2024-10-19T22:13:50Z,2024-10-19T22:13:50Z
